Model,MAE,RMSE,MAPE
CNN,0.023971437713005375,0.03411543125319908,4.939284868472451
RNN,0.14015626532143463,0.18804520146041875,24.588436217728542
LSTM,0.08350109906992559,0.11425201765654723,14.698806578902406
Transformer,0.3216611616810731,0.39267793252185335,59.96559273232216
