Model,1D_R2,3D_R2,7D_R2
CNN,0.892280637535185,0.8782027668827057,0.8471539492090401
RNN,0.9789749391127924,0.8786307308715648,0.8474716823012856
LSTM,0.892280637535185,0.8782027668827057,0.8471539492090401
Transformer,0.053613263049637094,-1.591351302989818,0.7019621347173849
