Horizon,MAE,RMSE,MAPE,R2
1-Day,1301.7641334688133,1888.3831174358484,3.6921214104316675,0.9788380061778752
3-Day,2768.5114850088744,3602.1963800136164,8.536066729886398,0.9231516292529457
7-Day,3223.9407550757383,4257.600987657409,9.90010003014749,0.8930665263381833
